Fecha,Almacenamiento (hm3),Precipitacion (mm),T_Max (C),T_Min (C),Evaporacion (mm),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s)
10/25/2008,34.959,0,29,11.5,1.92,1.92,0
10/26/2008,34.87,16.3,28.5,14.5,2.81,2.44,0
10/27/2008,34.87,16.9,24,15.5,2.92,2.45,3.47
10/28/2008,35.136,0,22.5,10,1.07,1.84,3.48
10/29/2008,35.136,0,24,8.5,3.2,1.8,3.47
10/30/2008,35.092,0,24.5,9,3.16,1.86,3.48
10/31/2008,35.048,0,26.5,12.5,1.8,1.8,3.47
11/1/2008,34.959,0,25,16,2.19,1.78,0
11/2/2008,34.781,0,25.5,11,2.02,7.02,0
11/3/2008,34.604,0,26.5,11.5,1.6,7.55,0
11/4/2008,34.426,0,26,15,2.52,6.54,0
11/5/2008,34.204,0,28.5,13.5,1.91,6.29,0
11/6/2008,34.027,0,28.5,13.5,1.83,6.16,0
11/7/2008,33.849,0,23.5,13.5,1.64,6.24,0
11/8/2008,33.672,0,25.5,10.5,1.11,6.45,0
11/9/2008,33.361,0.4,21,11.5,1.29,7.11,0
11/10/2008,33.006,0,28,17.5,1.52,8.42,0
11/11/2008,32.74,0,30.5,14,1.09,7.17,0
11/12/2008,32.478,0,27.5,14.5,1.92,7.11,0
11/13/2008,32.266,1.8,22,17,2.1,6.71,0
11/14/2008,31.969,0,29,11,1.37,7.03,0
11/15/2008,31.673,0,19.5,11,2.34,3.56,0
11/16/2008,31.377,0,20,4.5,1.52,3.97,0
11/17/2008,31.038,0,22.5,5,1.9,4.34,0
11/18/2008,30.614,0,24,5,1.94,6.95,0
11/19/2008,30.53,0,24,6,1.98,3.28,0
11/20/2008,30.445,0,26.5,6.5,1.45,3.52,0
11/21/2008,30.318,0,14.5,7.5,2.31,4.54,0
11/22/2008,30.149,0,19.5,8.5,1.86,4.75,0
11/23/2008,29.937,0,24,9,1.47,4.74,0
11/24/2008,29.767,0,28,12.5,1.35,4.76,0
11/25/2008,29.683,0,25,12,1.56,3.49,0
11/26/2008,29.556,0,26,9,2.22,2.99,0
11/27/2008,29.429,0,29,9,1.8,3.12,0
11/28/2008,29.386,0,26.5,11.5,2.34,3.11,0
11/29/2008,29.344,0,26,14,2.06,2.58,0
11/30/2008,29.302,0,27.5,8,1.91,3.08,0
12/1/2008,29.217,0,22,7.5,2.11,3,0
12/2/2008,29.175,0,24.5,4.5,1.91,2.7,0
12/3/2008,29.132,0,25,4.5,1.4,2.53,0
12/4/2008,29.005,0,21,7,2.51,2.93,0
12/5/2008,29.005,0,19,6,1.66,4.46,0
12/6/2008,29.005,0,24.5,5.5,1.76,0.95,0
12/7/2008,29.005,0,24,5.5,1.57,0.94,0
12/8/2008,29.005,0,26.5,6.5,1.16,0.98,0
12/9/2008,29.005,0,29,11,1.72,1.06,0
12/10/2008,29.175,0,17,6.5,2.97,0.96,0
12/11/2008,29.259,0,21,1.5,2.74,0.63,0
12/12/2008,29.217,0,22,2,1.67,0.65,0
12/13/2008,29.217,0,22,2.5,2.11,1.06,0
12/14/2008,29.132,0,31,5,2.19,2.03,0
12/15/2008,29.132,0,29.5,6.5,1.69,0.89,0
12/16/2008,29.132,0,16,7,1.69,1.09,0
12/17/2008,29.132,0,19.5,6,1.71,0.93,0
12/18/2008,29.132,0,24,9,0.32,0.73,0
12/19/2008,29.132,0,26,12,1.18,0.71,0
12/20/2008,29.132,0,28,13,1.5,0,0
12/21/2008,29.217,6.5,15,11,2.03,0.66,0
12/22/2008,29.217,1.3,6.5,3,0.99,0,0
12/23/2008,29.259,0.2,18.5,3,2.14,0,0
12/24/2008,29.302,0,27,6,0.65,0.66,0
12/25/2008,29.334,0,24.5,7.5,1.6,0,0
12/26/2008,29.344,0,28,7.5,0.9,0,0
12/27/2008,29.344,0,25,12,1.81,6.96,0
12/28/2008,29.344,0,21,11,2.25,0.73,0
12/29/2008,29.39,0,22,4,1.89,0.7,0
12/30/2008,29.39,0,24.5,4.5,1.82,0.68,0
12/31/2008,29.39,0.4,28,5.5,2.39,0.66,0
1/1/2009,29.386,0,23,10,1.46,0.66,0
1/2/2009,29.47,0,27.5,10.5,2.93,0.65,0
