Fecha,Precipitacion (mm),T_Max (C),T_Min (C)
2016-06-21,0.8,31.7,18.1
2016-06-22,0.0,27.5,18.9
2016-06-23,0.0,,
2016-06-24,0.0,,
2016-06-25,0.0,,
2016-06-26,0.0,,
2016-06-27,0.0,,
2016-06-28,0.0,,
2016-06-29,0.0,,
2016-06-30,0.0,,
2016-08-01,0.0,,
2016-08-02,0.0,,
2016-08-03,0.0,,
2016-08-04,0.0,,
2016-08-05,0.0,,
2016-08-06,0.0,,
2016-08-07,0.0,,
2016-08-08,0.0,,
2016-08-09,0.0,,
2016-08-10,0.0,,
2016-08-11,0.0,,
2016-08-12,0.0,,
2016-08-13,0.0,,
2016-08-14,0.0,,
2016-08-15,0.0,,
2016-08-16,0.0,,
2016-08-17,0.0,,
2016-08-18,0.0,,
2016-08-19,0.0,,
2016-08-20,0.0,,
2016-08-21,0.0,,
2016-08-22,0.0,,
2016-08-23,0.6,32.8,28.6
2016-08-24,0.0,32.6,18.1
2016-08-25,0.0,32.3,17.7
2016-08-26,0.0,31.3,17.5
2016-08-27,17.6,31.6,19.3
2016-08-28,9.4,32.6,19.0
2016-08-29,4.6,28.4,19.4
2016-08-30,38.2,27.9,21.0
2016-08-31,18.2,28.7,20.6
2016-09-01,12.4,30.1,20.3
2016-09-02,0.8,30.2,19.3
2016-09-03,0.0,30.6,19.9
2016-09-04,11.4,28.9,19.2
2016-09-05,0.0,28.1,18.0
2016-09-06,0.0,31.2,19.2
2016-09-07,0.0,31.7,21.2
2016-09-08,0.0,32.9,17.8
2016-09-09,0.0,31.2,16.8
2016-09-10,0.0,25.3,24.8
2016-09-11,0.0,31.2,18.9
2016-09-12,0.0,32.9,18.6
2016-09-13,0.0,32.9,20.4
2016-09-14,0.0,31.4,19.3
2016-09-15,0.0,31.6,19.5
2016-09-16,12.0,30.2,19.9
2016-09-17,0.0,32.5,19.8
2016-09-18,0.0,34.2,19.5
2016-09-19,0.0,34.3,19.6
2016-09-20,0.0,33.4,19.7
2016-09-21,0.0,33.1,18.1
2016-09-22,0.0,31.8,18.0
2016-09-23,0.0,30.3,17.8
2016-09-24,0.0,32.4,18.8
2016-09-25,0.0,31.9,20.6
2016-09-26,75.6,26.8,19.5
2016-09-27,41.800000000000004,25.2,17.1
2016-09-28,3.6,23.6,18.0
2016-09-29,2.2,23.8,18.3
2016-09-30,2.8,25.5,18.3
2016-10-01,0.4,23.8,18.2
2016-10-02,5.0,22.8,19.0
2016-10-03,0.0,29.2,16.6
2016-10-04,0.2,32.5,16.3
2016-10-05,0.0,33.1,17.5
2016-10-06,0.0,30.4,18.2
2016-10-07,0.0,29.3,19.3
2016-10-08,72.8,24.4,17.0
2016-10-09,0.8,26.5,18.9
2016-10-10,0.0,24.5,16.4
2016-10-11,0.0,28.1,15.6
2016-10-12,0.0,30.8,16.3
2016-10-13,0.0,29.7,16.5
2016-10-14,0.0,30.0,18.2
2016-10-15,0.0,28.7,16.5
2016-10-16,0.0,30.6,17.0
2016-10-17,0.0,31.3,16.4
2016-10-18,0.0,32.7,15.6
2016-10-19,0.0,30.9,16.1
2016-10-20,17.400000000000002,28.8,17.2
2016-10-21,57.60000000000001,22.9,13.4
2016-10-22,0.0,23.5,10.6
2016-10-23,0.6000000000000001,26.0,13.7
2016-10-24,0.4,24.0,15.3
2016-10-25,0.0,23.6,17.4
2016-10-26,0.0,25.5,16.1
2016-10-27,0.0,27.5,15.1
2016-10-28,0.0,26.9,13.3
2016-10-29,0.0,27.4,13.3
2016-10-30,0.0,27.8,14.6
2016-10-31,0.0,28.5,14.6
2016-11-01,0.0,29.7,16.0
2016-11-02,0.0,28.6,16.5
2016-11-03,0.4,26.2,20.5
2016-11-04,37.6,23.2,17.7
2016-11-05,0.4,22.5,16.7
2016-11-06,1.0,21.8,17.2
2016-11-07,0.4,25.1,16.0
2016-11-08,8.799999999999999,22.9,15.4
2016-11-09,19.8,18.9,14.3
2016-11-10,0.4,19.2,12.3
2016-11-11,13.600000000000001,16.6,14.1
2016-11-12,6.8,16.1,14.2
2016-11-13,7.2,15.5,13.6
2016-11-14,0.2,20.3,12.6
2016-11-15,0.2,25.8,11.8
2016-11-16,0.0,26.8,11.2
2016-11-17,0.0,26.5,11.6
2016-11-18,0.0,28.6,12.9
2016-11-19,0.2,22.4,10.6
2016-11-20,0.0,21.5,4.8
2016-11-21,0.0,23.9,8.5
2016-11-22,0.0,27.0,10.6
2016-11-23,0.0,22.1,13.3
2016-11-24,0.0,21.7,13.0
2016-11-25,0.0,22.7,14.0
2016-11-26,5.6000000000000005,19.3,14.9
2016-11-27,0.0,24.4,17.2
2016-11-28,0.2,29.4,12.9
2016-11-29,0.0,29.5,14.5
2016-11-30,0.0,20.6,9.3
2016-12-01,0.0,22.2,7.9
2016-12-02,0.6000000000000001,22.4,11.2
2016-12-03,4.8,20.6,15.4
2016-12-04,7.6,17.1,10.2
2016-12-05,4.8,20.3,9.1
2016-12-06,0.0,23.7,8.5
2016-12-07,0.0,21.9,9.3
2016-12-08,4.800000000000001,14.6,7.4
2016-12-09,3.6,7.3,2.8
2016-12-10,0.6000000000000001,12.6,5.3
2016-12-11,0.2,22.7,8.6
2016-12-12,0.0,23.8,11.7
2016-12-13,0.0,25.4,11.2
2016-12-14,0.0,23.8,10.8
2016-12-15,0.2,16.4,11.7
2016-12-16,0.0,25.0,11.9
2016-12-17,0.0,28.3,14.5
2016-12-18,0.0,19.4,7.4
2016-12-19,0.0,10.5,2.2
2016-12-20,0.0,16.5,0.6
2016-12-21,0.0,22.3,5.8
2016-12-22,0.0,20.2,11.7
2016-12-23,1.8,21.2,13.4
2016-12-24,0.2,24.1,13.3
2016-12-25,0.0,26.1,14.2
2016-12-26,0.2,24.1,13.0
2016-12-27,0.0,20.4,15.7
2016-12-28,0.0,25.9,14.4
2016-12-29,26.200000000000003,24.3,13.0
2016-12-30,0.8,16.1,6.2
2016-12-31,0.0,23.0,7.3
2017-01-01,0.0,25.8,14.5
2017-01-02,0.0,26.1,12.9
2017-01-03,0.0,24.9,11.6
2017-01-04,0.0,20.2,11.8
2017-01-05,0.2,25.0,9.3
2017-01-06,1.0,16.0,4.1
2017-01-07,1.6,7.1,-1.5
2017-01-08,0.0,13.1,-2.8
2017-01-09,0.0,20.9,2.4
2017-01-10,0.0,26.3,8.3
2017-01-11,0.0,25.7,10.7
2017-01-12,0.0,25.4,9.2
2017-01-13,0.0,24.0,11.3
2017-01-14,2.0,21.9,16.1
2017-01-15,0.0,25.3,12.8
2017-01-16,0.0,20.7,11.6
2017-01-17,0.0,19.5,15.2
2017-01-18,0.4,18.1,13.6
2017-01-19,1.4000000000000001,23.9,10.8
2017-01-20,0.0,28.0,11.2
2017-01-21,0.0,30.1,11.6
2017-01-22,0.0,28.7,8.5
2017-01-23,0.0,25.0,7.7
2017-01-24,0.0,33.3,12.4
2017-01-25,0.0,26.5,15.5
2017-01-26,0.0,19.3,5.8
2017-01-27,3.2,14.9,5.6
2017-01-28,24.200000000000003,10.4,4.4
2017-01-29,0.0,17.6,3.2
2017-01-30,0.0,21.5,5.3
2017-01-31,0.0,26.0,8.2
2017-02-01,0.0,29.1,10.4
2017-02-02,0.0,28.8,12.8
2017-02-03,0.2,20.9,14.3
2017-02-04,3.0,15.6,11.7
2017-02-05,0.0,25.4,11.5
2017-02-06,0.2,28.8,12.4
2017-02-07,0.0,33.5,13.6
2017-02-08,0.0,33.6,14.0
2017-02-09,0.0,26.7,11.9
2017-02-10,0.0,27.6,9.4
2017-02-11,0.0,33.7,13.0
2017-02-12,0.0,30.4,13.1
2017-02-13,0.0,25.6,18.3
2017-02-14,0.0,23.4,15.0
2017-02-15,0.0,18.2,9.3
2017-02-16,0.0,20.1,6.6
2017-02-17,0.8,26.7,7.6
2017-02-18,0.0,31.8,11.9
2017-02-19,0.0,32.3,12.6
2017-02-20,0.0,26.0,12.7
2017-02-21,0.0,29.8,12.8
2017-02-22,0.0,34.2,12.8
2017-02-23,0.0,36.2,15.3
2017-02-24,0.0,33.4,18.5
2017-02-25,0.0,26.4,13.2
2017-02-26,0.0,28.2,13.3
2017-02-27,0.0,35.1,13.4
2017-02-28,0.0,34.2,14.9
2017-03-01,0.0,30.7,16.9
2017-03-02,0.0,21.5,12.2
2017-03-03,0.0,17.3,9.7
2017-03-04,21.200000000000003,14.6,11.9
2017-03-05,0.0,26.2,11.4
2017-03-06,0.0,31.3,12.4
2017-03-07,0.0,28.3,14.3
2017-03-08,12.0,23.8,17.1
2017-03-09,31.0,24.0,14.8
2017-03-10,0.0,25.3,14.4
2017-03-11,10.399999999999999,24.1,14.2
2017-03-12,6.2,18.8,14.9
2017-03-13,1.2000000000000002,27.2,10.7
2017-03-14,0.4,17.7,12.8
2017-03-15,0.2,24.3,10.1
2017-03-16,0.0,27.1,12.1
2017-03-17,0.0,21.8,12.2
2017-03-18,0.0,,
2017-03-19,0.0,,
2017-03-20,0.0,,
2017-03-21,0.0,,
2017-03-22,0.0,,
2017-03-23,0.0,,
2017-03-24,0.0,,
2017-03-25,0.0,,
2017-03-26,0.0,,
2017-03-27,0.0,,
2017-03-28,0.0,,
2017-03-29,0.0,,
2017-03-30,0.0,,
2017-03-31,0.0,,
2018-02-01,0.0,,
2018-02-02,0.0,,
2018-02-03,0.0,,
2018-02-04,0.0,,
2018-02-05,0.0,,
2018-02-06,0.0,,
2018-02-07,0.0,,
2018-02-08,0.0,,
